Units Processed,Time (s)
1,1.930000144056976e-05
2,6.099988240748644e-06
3,1.5300000086426735e-05
4,1.1500000255182385e-05
5,1.4599994756281376e-05
6,1.5600002370774746e-05
7,1.4199991710484028e-05
8,1.4099990949034691e-05
9,5.4000120144337416e-06
10,1.1999800335615873e-06
11,6.399990525096655e-06
12,9.00006853044033e-07
13,4.4000043999403715e-06
14,7.00005330145359e-07
15,8.400005754083395e-06
16,1.1399999493733048e-05
17,3.7999998312443495e-06
18,6.399990525096655e-06
19,3.0999945010989904e-06
20,3.270001616328955e-05
21,2.1999876480549574e-06
22,9.999785106629133e-07
23,1.300001167692244e-05
24,8.00006091594696e-07
25,7.00005330145359e-07
26,8.00006091594696e-07
27,8.00006091594696e-07
28,8.800008799880743e-06
29,6.00004568696022e-07
30,5.89998671784997e-06
31,5.89998671784997e-06
32,5.00003807246685e-07
33,6.499991286545992e-06
34,5.5000127758830786e-06
35,4.999747034162283e-07
36,5.89998671784997e-06
37,5.199981387704611e-06
38,5.00003807246685e-07
39,6.099988240748644e-06
40,2.800021320581436e-06
41,1.400001929141581e-05
42,8.200004231184721e-06
43,1.800013706088066e-06
44,1.400010660290718e-06
45,9.00006853044033e-07
46,4.999747034162283e-07
47,5.499983672052622e-06
48,5.299982149153948e-06
49,5.699985194951296e-06
50,7.00005330145359e-07
51,5.099980626255274e-06
52,6.199989002197981e-06
53,5.00003807246685e-07
54,1.479999627918005e-05
55,6.999995093792677e-06
56,5.299982149153948e-06
57,6.100017344579101e-06
58,5.80001506023109e-06
59,6.00004568696022e-07
60,6.500020390376449e-06
61,5.00003807246685e-07
62,6.799993570894003e-06
63,6.89999433234334e-06
64,5.00003807246685e-07
65,5.599984433501959e-06
66,6.099988240748644e-06
67,6.00004568696022e-07
68,5.00003807246685e-07
69,5.00003807246685e-07
70,5.00003807246685e-07
71,8.100003469735384e-06
72,7.599999662488699e-06
73,5.00003807246685e-07
74,5.00003807246685e-07
75,5.00003807246685e-07
76,5.00003807246685e-07
77,6.099988240748644e-06
78,6.00004568696022e-07
79,6.200018106028438e-06
80,6.80002267472446e-06
81,6.80002267472446e-06
82,7.599999662488699e-06
83,6.699992809444666e-06
84,5.00003807246685e-07
85,5.999987479299307e-06
86,5.2000104915350676e-06
87,5.00003807246685e-07
88,5.00003807246685e-07
89,5.00003807246685e-07
90,6.00004568696022e-07
91,1.500011421740055e-06
92,5.00003807246685e-07
93,2.4999899324029684e-06
94,5.00003807246685e-07
95,4.999747034162283e-07
96,1.069999416358769e-05
97,1.0399991879239678e-05
98,1.0100018698722124e-05
99,3.0800001695752144e-05
100,1.2600008631125093e-05
101,1.069999416358769e-05
102,9.90001717582345e-06
103,9.200011845678091e-06
104,9.500014130026102e-06
105,9.400013368576765e-06
106,9.400013368576765e-06
107,1.0000017937272787e-05
108,1.0099989594891667e-05
109,9.899988071992993e-06
110,1.0199990356341004e-05
111,1.0199990356341004e-05
112,1.0099989594891667e-05
113,1.0099989594891667e-05
114,9.799987310543656e-06
115,9.69998654909432e-06
116,9.899988071992993e-06
117,1.0299991117790341e-05
118,1.0200019460171461e-05
119,1.0000017937272787e-05
120,2.6999914553016424e-06
121,7.00005330145359e-07
122,1.5999976312741637e-05
123,1.5199999324977398e-05
124,1.400001929141581e-05
125,1.4599994756281376e-05
126,1.1099997209385037e-05
127,1.0199990356341004e-05
128,9.799987310543656e-06
129,1.4999997802078724e-05
130,1.5400000847876072e-05
131,1.4900026144459844e-05
132,1.379998866468668e-05
133,1.6399979358538985e-05
134,1.4399993233382702e-05
135,2.6999914553016424e-06
136,2.700020559132099e-06
137,1.5400000847876072e-05
138,1.170000177808106e-05
139,1.3900018529966474e-05
140,1.7399986973032355e-05
141,1.5700003132224083e-05
142,1.400001929141581e-05
143,1.5600002370774746e-05
144,1.4699995517730713e-05
